Deployment,datetime,C_DPM,C_DPH,Match,F_DPM,F_DPH,Filter 
5,06/01/2022 08:59,0,0,0,1,1,HM
5,06/01/2022 09:59,0,0,1,0,0,HM
5,06/01/2022 10:59,0,0,1,0,0,HM
5,06/01/2022 11:59,0,0,0,1,1,HM
5,06/01/2022 12:59,0,0,0,2,1,HM
5,06/01/2022 13:59,1,1,0,0,0,HM
5,06/01/2022 14:59,0,0,0,5,1,HM
5,06/01/2022 15:59,0,0,1,0,0,HM
5,06/01/2022 16:59,0,0,1,0,0,HM
5,06/01/2022 17:59,0,0,1,0,0,HM
5,06/01/2022 18:59,0,0,1,0,0,HM
5,06/01/2022 19:59,0,0,1,0,0,HM
5,06/01/2022 20:59,0,0,1,0,0,HM
5,06/01/2022 21:59,0,0,1,0,0,HM
5,06/01/2022 22:59,0,0,1,0,0,HM
5,06/01/2022 23:59,0,0,1,0,0,HM
5,07/01/2022 00:59,0,0,0,1,1,HM
5,07/01/2022 01:59,0,0,1,0,0,HM
5,07/01/2022 02:59,0,0,1,0,0,HM
5,07/01/2022 03:59,0,0,1,0,0,HM
5,07/01/2022 04:59,0,0,1,0,0,HM
5,07/01/2022 05:59,0,0,1,0,0,HM
5,07/01/2022 06:59,0,0,1,0,0,HM
5,07/01/2022 07:59,0,0,1,0,0,HM
5,07/01/2022 08:59,0,0,1,0,0,HM
5,07/01/2022 09:59,0,0,1,0,0,HM
5,07/01/2022 10:59,0,0,1,0,0,HM
5,07/01/2022 11:59,0,0,1,0,0,HM
5,07/01/2022 12:59,0,0,1,0,0,HM
5,07/01/2022 13:59,0,0,1,0,0,HM
5,07/01/2022 14:59,0,0,1,0,0,HM
5,07/01/2022 15:59,0,0,1,0,0,HM
5,07/01/2022 16:59,0,0,1,0,0,HM
5,07/01/2022 17:59,0,0,1,0,0,HM
5,07/01/2022 18:59,0,0,1,0,0,HM
5,07/01/2022 19:59,0,0,1,0,0,HM
5,07/01/2022 20:59,0,0,1,0,0,HM
5,07/01/2022 21:59,0,0,1,0,0,HM
5,07/01/2022 22:59,0,0,1,0,0,HM
5,07/01/2022 23:59,0,0,1,0,0,HM
5,08/01/2022 00:59,0,0,1,0,0,HM
5,08/01/2022 01:59,0,0,1,0,0,HM
5,08/01/2022 02:59,0,0,1,0,0,HM
5,08/01/2022 03:59,0,0,1,0,0,HM
5,08/01/2022 04:59,0,0,1,0,0,HM
5,08/01/2022 05:59,0,0,1,0,0,HM
5,08/01/2022 06:59,0,0,1,0,0,HM
5,08/01/2022 07:59,0,0,1,0,0,HM
5,08/01/2022 08:59,0,0,1,0,0,HM
5,08/01/2022 09:59,0,0,1,0,0,HM
5,08/01/2022 10:59,0,0,1,0,0,HM
5,08/01/2022 11:59,0,0,1,0,0,HM
5,08/01/2022 12:59,0,0,1,0,0,HM
5,08/01/2022 13:59,0,0,1,0,0,HM
5,08/01/2022 14:59,0,0,1,0,0,HM
5,08/01/2022 15:59,0,0,1,0,0,HM
5,08/01/2022 16:59,0,0,1,0,0,HM
5,08/01/2022 17:59,0,0,1,0,0,HM
5,08/01/2022 18:59,0,0,1,0,0,HM
5,08/01/2022 19:59,0,0,1,0,0,HM
5,08/01/2022 20:59,0,0,1,0,0,HM
5,08/01/2022 21:59,0,0,1,0,0,HM
